group	feature
sampleY1	group1	0
sampleY2	group2	0
sampleY3	group3	0
sampleY4	group4	0
sampleY5	group5	0
sampleY6	group1	0
sampleY7	group2	0
sampleY8	group3	0
sampleY9	group4	0
sampleY10	group5	0
sampleY11	group1	0
sampleY12	group2	0
sampleY13	group3	0
sampleY14	group4	0
sampleY15	group5	0
sampleY16	group1	0
sampleY17	group2	0
sampleY18	group3	0
sampleY19	group4	0
sampleY20	group5	0
sampleY21	group1	0
sampleY22	group2	0
sampleY23	group3	0
sampleY24	group4	0
sampleY25	group5	0
sampleY26	group1	0
sampleY27	group2	0
sampleY28	group3	0
sampleY29	group4	0
sampleY30	group5	0
sampleY31	group1	1
sampleY32	group2	1
sampleY33	group3	1
sampleY34	group4	1
sampleY35	group5	1
sampleY36	group1	1
sampleY37	group2	1
sampleY38	group3	1
sampleY39	group4	1
sampleY40	group5	1
sampleY41	group1	1
sampleY42	group2	1
sampleY43	group3	1
sampleY44	group4	1
sampleY45	group5	1
sampleY46	group1	1
sampleY47	group2	1
sampleY48	group3	1
sampleY49	group4	1
sampleY50	group5	1
