row,column,value
1,1,3
2,1,1
3,1,1
4,1,1
5,1,1
6,2,1
5,2,1
7,3,3
8,3,2
9,3,1
1,3,1
3,3,1
10,3,1
11,3,1
4,3,2
12,3,1
7,4,1
9,4,1
13,4,1
14,4,1
15,4,1
16,4,1
17,4,1
5,4,1
18,5,1
19,5,1
20,5,1
21,5,2
4,5,1
16,5,2
17,5,1
5,5,2
22,5,1
23,6,1
24,6,1
5,6,1
25,7,1
26,7,1
27,8,1
28,9,1
20,10,1
5,10,2
10,11,2
25,12,4
29,12,1
3,12,1
30,12,1
31,12,1
24,12,1
32,12,1
33,12,1
34,12,1
10,12,1
11,12,4
4,12,4
35,12,1
17,12,3
5,12,2
22,12,2
36,12,1
37,12,3
38,12,5
12,12,3
39,12,1
3,13,1
11,14,1
4,14,1
5,14,2
40,15,2
41,15,1
42,15,1
5,15,2
43,16,1
5,16,1
44,16,1
45,17,1
46,17,1
28,17,1
4,17,2
5,17,2
7,18,1
47,18,1
16,18,1
17,18,1
47,19,1
4,19,1
48,19,1
5,19,1
12,19,1
8,20,1
9,20,1
46,20,1
15,20,1
4,20,1
5,20,2
49,20,1
46,21,1
50,21,1
51,22,1
50,23,1
47,23,1
5,23,1
17,24,1
5,24,2
22,24,1
52,25,1
9,25,1
42,25,1
46,25,2
51,25,1
10,25,1
4,25,1
17,25,1
5,25,4
22,25,2
25,26,1
52,26,1
53,26,1
54,26,1
55,26,1
40,26,1
41,26,2
56,26,1
57,26,1
9,26,1
1,26,1
3,26,7
58,26,1
59,26,1
46,26,3
50,26,1
19,26,1
23,26,3
60,26,1
61,26,1
62,26,1
63,26,2
64,26,1
31,26,1
51,26,3
65,26,3
66,26,2
67,26,2
14,26,1
24,26,2
47,26,4
20,26,1
21,26,2
68,26,1
69,26,3
70,26,1
71,26,1
34,26,1
10,26,4
4,26,3
72,26,1
48,26,3
16,26,2
17,26,1
5,26,6
22,26,5
73,26,1
74,26,3
12,26,1
39,26,1
75,26,2
7,27,3
5,27,1
41,28,1
9,28,1
3,28,1
46,28,4
19,28,1
23,28,1
76,28,1
65,28,3
15,28,2
24,28,2
47,28,7
71,28,1
43,28,1
48,28,1
5,28,2
22,28,1
5,29,1
22,29,1
52,30,1
68,30,1
43,30,1
48,30,1
5,30,1
74,30,1
77,31,1
25,32,1
46,32,1
47,32,1
34,32,1
10,32,1
78,32,2
5,32,1
8,33,1
3,33,2
46,33,1
50,33,2
79,33,1
69,33,1
4,33,1
43,33,2
16,33,1
5,33,5
22,33,1
25,34,1
53,34,1
7,34,1
3,34,1
19,34,1
80,34,1
81,34,1
20,34,3
21,34,2
4,34,1
48,34,1
46,35,1
82,35,2
43,35,1
59,36,1
24,36,2
4,36,1
17,36,2
5,36,2
22,36,1
24,37,2
83,37,2
47,37,2
69,37,1
84,37,2
10,37,1
17,37,1
5,37,2
74,37,1
52,38,1
6,38,1
57,38,1
8,38,1
46,38,2
50,38,1
63,38,1
79,38,1
48,38,3
16,38,1
17,38,1
85,39,1
10,39,1
4,39,1
86,39,1
17,39,1
5,39,1
22,39,1
25,40,1
46,40,5
50,40,2
82,40,1
47,40,1
5,40,3
55,41,1
19,41,1
63,41,1
87,41,1
88,41,1
89,41,1
65,41,1
90,41,1
77,41,1
24,41,3
91,41,1
34,41,2
10,41,1
11,41,1
4,41,1
25,42,1
16,42,1
5,42,1
22,42,1
19,43,1
17,43,1
5,43,3
25,44,1
52,44,2
92,44,1
93,44,1
8,44,1
2,44,1
3,44,1
58,44,1
46,44,6
50,44,1
23,44,1
16,44,1
17,44,1
5,44,1
22,44,1
94,45,1
95,45,1
2,46,1
3,46,2
46,46,3
24,46,1
10,46,1
17,46,2
5,46,5
22,46,1
63,47,1
28,47,1
15,47,1
20,47,1
10,47,1
17,47,2
5,47,3
22,47,3
75,47,1
6,48,1
3,48,1
23,48,1
5,48,1
22,48,2
96,49,1
25,50,1
97,50,1
98,50,1
46,50,4
99,50,1
81,50,1
51,50,1
82,50,1
100,50,1
24,50,1
47,50,1
71,50,1
17,50,3
